studentID,Prelab1,Prelab1-attempts,Prelab1-questions,Prelab1-growths,Prelab1-timeSpent,Prelab1-lastSubmit,Inlab1,Inlab1-attempts,Inlab1-questions,Inlab1-growths,Inlab1-timeSpent,Inlab1-lastSubmit,Prelab2,Prelab2-attempts,Prelab2-questions,Prelab2-growths,Prelab2-timeSpent,Prelab2-lastSubmit,Inlab2,Inlab2-attempts,Inlab2-questions,Inlab2-growths,Inlab2-timeSpent,Inlab2-lastSubmit,Prelab3,Prelab3-attempts,Prelab3-questions,Prelab3-growths,Prelab3-timeSpent,Prelab3-lastSubmit,Inlab3,Inlab3-attempts,Inlab3-questions,Inlab3-growths,Inlab3-timeSpent,Inlab3-lastSubmit,Prelab4,Prelab4-attempts,Prelab4-questions,Prelab4-growths,Prelab4-timeSpent,Prelab4-lastSubmit,Inlab4,Inlab4-attempts,Inlab4-questions,Inlab4-growths,Inlab4-timeSpent,Inlab4-lastSubmit
2113519,9.9,13.0,10.0,1.364,550.1333333333333,1644752160.0,9.272,10.0,10.0,0.0,58.38333333333333,1645285500.0,10.0,10.0,9.0,1.1111111111111112,12.016666666666667,1645537140.0,8.88888888888889,9.0,9.0,0.0,3.75,1646298000.0,10.0,11.0,10.0,1.0,120.18333333333334,1649594040.0,10.0,13.0,12.0,0.8333333333333334,54.916666666666664,1650111720.0,9.857142857142858,10.0,7.0,4.285714285714286,72.16666666666667,1650386280.0,8.75,9.0,8.0,1.25,35.61666666666667,1651856220.0
2110196,10.0,19.0,10.0,4.2,579.3166666666667,1644850260.0,9.236,14.0,10.0,2.636,104.91666666666667,1643469300.0,10.0,12.0,9.0,3.3333333333333335,152.93333333333334,1645362900.0,10.0,10.0,9.0,1.1111111111111112,25.233333333333334,1645515600.0,10.0,10.0,10.0,0.0,0.13333333333333333,1649598420.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,7.0,0.0,0.15,1650339360.0,0.0,0.0,0.0,0.0,0.0,0.0
1911660,10.0,15.0,10.0,0.5,148.93333333333334,1643298780.0,10.0,13.0,10.0,1.363,207.98333333333332,1644914460.0,10.0,9.0,9.0,0.0,151.55,1645460520.0,10.0,9.0,9.0,0.0,3.0833333333333335,1646126040.0,10.0,10.0,10.0,0.0,23.933333333333334,1649230680.0,10.0,12.0,12.0,0.0,8.9,1649783040.0,10.0,7.0,7.0,0.0,118.95,1650177480.0,9.875,8.0,8.0,0.0,24.9,1651047480.0
2052555,10.0,12.0,10.0,0.1,22.6,1642844100.0,10.0,11.0,10.0,0.0,1.6166666666666667,1645002540.0,10.0,11.0,9.0,0.0,22.083333333333332,1644887640.0,10.0,11.0,9.0,0.0,192.53333333333333,1646530380.0,10.0,11.0,10.0,0.2,2.716666666666667,1649048460.0,10.0,15.0,12.0,0.0,25.066666666666666,1649919720.0,10.0,7.0,7.0,0.0,0.38333333333333336,1649639520.0,10.0,8.0,8.0,0.0,1.0333333333333334,1649643420.0
2153379,10.0,10.0,10.0,0.0,3.1,1642774920.0,10.0,10.0,10.0,0.0,1.4,1643079720.0,10.0,9.0,9.0,0.0,31.15,1645106340.0,10.0,13.0,9.0,0.0,3.9,1645503660.0,10.0,10.0,10.0,0.0,0.5166666666666667,1649126160.0,10.0,12.0,12.0,0.0,2.35,1649126700.0,10.0,8.0,7.0,1.4285714285714286,40.916666666666664,1649903460.0,10.0,8.0,8.0,0.0,1.4666666666666666,1650333000.0
2153240,10.0,14.0,10.0,0.0,461.1333333333333,1644425460.0,10.0,10.0,10.0,0.0,7.066666666666666,1644760260.0,10.0,9.0,9.0,0.0,20.133333333333333,1644907680.0,10.0,9.0,9.0,0.0,5.733333333333333,1645879200.0,10.0,12.0,10.0,1.0,102.4,1649432640.0,10.0,12.0,12.0,0.0,37.666666666666664,1649431320.0,10.0,7.0,7.0,0.0,72.11666666666666,1650293640.0,10.0,8.0,8.0,0.0,1.8166666666666667,1650783840.0
2112462,10.0,13.0,10.0,0.1,363.6333333333333,1644075420.0,10.0,12.0,10.0,0.0,5.3,1645094220.0,10.0,9.0,9.0,0.0,0.7,1645015500.0,10.0,10.0,9.0,0.0,2.316666666666667,1646292240.0,10.0,17.0,10.0,2.3,146.61666666666667,1649580960.0,10.0,12.0,12.0,0.0,1.6,1649920200.0,10.0,7.0,7.0,0.0,0.31666666666666665,1649762820.0,10.0,8.0,8.0,0.0,1.2666666666666666,1651732500.0
2152184,10.0,13.0,10.0,0.0,123.78333333333333,1643210580.0,10.0,10.0,10.0,0.0,3.2,1644743280.0,10.0,9.0,9.0,0.0,39.56666666666667,1644974940.0,10.0,9.0,9.0,0.0,1.9333333333333333,1645945500.0,10.0,10.0,10.0,0.0,29.683333333333334,1649169420.0,10.0,12.0,12.0,0.0,2.316666666666667,1649301780.0,10.0,7.0,7.0,0.0,9.35,1649986740.0,10.0,8.0,8.0,0.0,2.0166666666666666,1650784740.0
2152964,10.0,12.0,10.0,0.1,50.28333333333333,1642946040.0,10.0,15.0,10.0,0.0,5.766666666666667,1644760260.0,10.0,10.0,9.0,0.0,96.66666666666667,1645181940.0,10.0,9.0,9.0,0.0,3.05,1645859700.0,10.0,11.0,10.0,1.0,54.21666666666667,1649259360.0,10.0,12.0,12.0,0.0,1.9833333333333334,1649300520.0,10.0,7.0,7.0,0.0,2.5166666666666666,1650035460.0,10.0,8.0,8.0,0.0,1.8833333333333333,1650783900.0
2153414,10.0,11.0,10.0,0.0,16.75,1642827000.0,10.0,11.0,10.0,0.0,0.6,1644476100.0,10.0,11.0,9.0,1.1111111111111112,59.016666666666666,1645029060.0,10.0,9.0,9.0,0.0,1.3,1645691400.0,10.0,10.0,10.0,0.0,0.9166666666666666,1649121480.0,10.0,12.0,12.0,0.0,24.133333333333333,1649398980.0,10.0,7.0,7.0,0.0,0.35,1649652660.0,10.0,8.0,8.0,0.0,0.9166666666666666,1650525060.0
